Sigla da Unidade da Federação,Ano,Produto Interno Bruto,População,PIB per capita
AC,1999,1557195101.9999998,543467.0,2865.2983566619496
AC,2000,1702620882.0000002,558658.0,3047.69802276169
AC,2001,1920769498.9999995,573945.0,3346.6089938931423
AC,2002,2971301277.0,609350.9263880162,4876.174218053072
AC,2003,3377234250.0,626166.938589268,5393.504578202083
AC,2004,3784002575.0,630327.8106497758,6003.229606986953
AC,2005,4300581271.0,669736.1926872991,6421.306356080338
AC,2006,4661806953.0,686652.107393592,6789.183201804159
AC,2007,5458172173.0,655385.0117513393,8328.191940817367
AC,2008,6410254679.0,680072.9671217559,9425.833680950222
AC,2009,7407821405.0,691132.0660492181,10718.387655410075
AC,2010,8342355523.0,732792.9208998748,11384.328757919127
AC,2011,8949433758.0,746386.129687691,11990.353788788512
AC,2012,10137924705.0,758785.9533126671,13360.717420690764
AC,2013,11473930166.0,776462.9584406865,14777.176478633639
AC,2014,13458697630.0,790100.9188270739,17034.150080447696
AC,2015,13622801799.0,803512.9944576945,16954.052881489835
AC,2016,13754239978.0,816687.1160088115,16841.50479221176
AC,2017,14272940594.0,829619.0270738148,17204.210762068353
AC,2018,15331122590.0,869264.9427176592,17636.881273583826
AC,2019,15630016942.0,881935.0023052996,17722.413671239407
AC,2020,16476370837.0,894469.9817370024,18420.261354108232
AL,1999,6429095023.0,2808579.0,2289.0917517363764
AL,2000,7022922848.000001,2842506.0,2470.680043595335
AL,2001,7569187609.000001,2876644.0,2631.2562864921765
AL,2002,11536852891.0,2911231.580814899,3962.877074784499
AL,2003,12624030216.0,2946078.0514327264,4285.029111791769
AL,2004,14044907468.0,2980910.3646277133,4711.616838486881
AL,2005,15484521444.0,3015911.9346180316,5134.275064951832
AL,2006,17395670950.0,3050652.2852453366,5702.279159816151
AL,2007,19871265910.0,3037231.052917584,6542.559839466784
AL,2008,22262294595.0,3127557.196625188,7118.109500610342
AL,2009,24182387524.0,3156107.763508634,7662.09183463258
AL,2010,27133037860.0,3120922.033421714,8693.917236455889
AL,2011,31657320736.0,3143384.0322109847,10071.09548550228
AL,2012,34650397469.0,3165472.1482601757,10946.3599254995
AL,2013,37282529122.0,3300934.8652350474,11294.53644016246
AL,2014,40974994014.0,3321730.0788723556,12335.437570505424
AL,2015,46367210608.0,3340931.8356208783,13878.526378070543
AL,2016,49468740909.0,3358962.976163503,14727.38498758375
AL,2017,52851066935.0,3375823.1930339653,15655.756807423608
AL,2018,54413046658.0,3322820.0416715667,16375.562316226778
AL,2019,58963728728.0,3337357.016039804,17667.79174197189
AL,2020,63202348928.0,3351543.0195123563,18857.686910190947
AM,1999,15554777524.0,2754985.0,5646.047990823907
AM,2000,18872885022.000008,2832439.0,6663.121437743234
AM,2001,20736036998.0,2910376.0,7124.865308812332
AM,2002,22093338008.0,3004607.313876161,7353.153241013048
AM,2003,25862134092.0,3083701.027424823,8386.719030799586
AM,2004,31090695798.0,3138725.5379430847,9905.515924267404
AM,2005,33980876529.0,3232330.1857701265,10512.811060762286
AM,2006,39933212635.0,3311026.348341914,12060.674979224385
AM,2007,43479773086.0,3221940.307955765,13494.9033595184
AM,2008,48115264642.0,3341096.7225720696,14401.039130935284
AM,2009,50559839676.0,3393368.6881447854,14899.601052086668
AM,2010,60877122684.0,3480937.0841570836,17488.716748450373
AM,2011,70734401222.0,3538386.828639267,19990.57894108255
AM,2012,72242700676.0,3590984.8214833313,20117.796166612214
AM,2013,83051232958.0,3807920.918363822,21810.12545651427
AM,2014,86668643770.0,3873742.8217643,22373.360276541713
AM,2015,86568184233.0,3938335.6582661793,21980.905576522382
AM,2016,89039781991.0,4001666.7850983064,22250.673724902015
AM,2017,93240190919.0,4063614.256109783,22945.138254402515
AM,2018,100109235068.0,4080611.0333632715,24532.903099438317
AM,2019,108181090996.0,4144596.876048211,26101.71609721148
AM,2020,116019139386.0,4207713.688480329,27572.9643163772
AP,1999,1584001034.9999998,447209.0,3541.9703874474794
AP,2000,1968365450.0000002,466932.0,4215.529134863321
AP,2001,2253041175.0,486778.0,4628.477817403416
AP,2002,3173342678.0,530923.0491251072,5977.0294079890855
AP,2003,3413195152.0,552116.1727017811,6182.0234957029525
AP,2004,3824739763.0,547400.2111147601,6987.099539496085
AP,2005,4306410130.0,594587.2269635249,7242.688599269519
AP,2006,5280821943.0,615715.1357521638,8576.729133918228
AP,2007,6012522851.0,587310.8902416786,10237.376746965896
AP,2008,6950413077.0,613163.8935593053,11335.326737284075
AP,2009,7490655556.0,626609.0104066337,11954.273608576086
AP,2010,8237795351.0,668688.9137772829,12319.323950604217
AP,2011,9409228041.0,684309.1256335081,13749.967212974523
AP,2012,11130867802.0,698601.9714852478,15933.060965080667
AP,2013,12763486218.0,734995.9388546848,17365.38332155799
AP,2014,13400283590.0,750911.9708884003,17845.345539166447
AP,2015,13861293272.0,766678.9834827358,18079.657288939015
AP,2016,14342135081.0,782295.0605288672,18333.408715765203
AP,2017,15481908326.0,797721.9258461244,19407.650491214357
AP,2018,16795206668.0,829493.9128070676,20247.534561361397
AP,2019,17496661074.0,845731.0925094377,20688.208378486157
AP,2020,18469114505.0,861773.0579669287,21431.52925733351
BA,1999,42040108636.99999,13015531.0,3229.995659570093
BA,2000,48197173776.99999,13147739.0,3665.8146147409825
BA,2001,52249320351.0,13280769.0,3934.2089566500254
BA,2002,58842975944.0,13409107.374815814,4388.284342812809
BA,2003,67174226862.0,13544334.752325892,4959.581115673809
BA,2004,77931724707.0,13682073.067511426,5695.90034510572
BA,2005,88291882625.0,13815333.350628559,6390.861543777586
BA,2006,95347801942.0,13950147.053993084,6834.8958310591925
BA,2007,109329527526.0,14080669.043857804,7764.512267525467
BA,2008,121667454628.0,14502575.192971153,8389.368991995821
BA,2009,137942480645.0,14637364.692525845,9423.996979144506
BA,2010,154419547376.0,14021432.350071395,11013.107899437515
BA,2011,166602816895.0,14097534.85028512,11817.868773818316
BA,2012,182572530053.0,14175340.371709213,12879.587033929263
BA,2013,204844273539.0,15044137.507224428,13616.219171130988
BA,2014,223929966172.0,15126370.996733122,14803.945124733666
BA,2015,245043689661.0,15203333.256970895,16117.76085672823
BA,2016,258738970256.0,15276565.82401725,16936.985264660736
BA,2017,268724090234.0,15344447.556899916,17512.79016318598
BA,2018,286239541110.0,14812617.040908929,19324.035740576724
BA,2019,293240503586.0,14873064.750696711,19716.212394776503
BA,2020,305320812691.0,14930634.282181246,20449.286140199736
CE,1999,19510906532.0,7382234.0,2642.9542238839895
CE,2000,20799548010.0,7499239.0,2773.5544913290537
CE,2001,21581141138.000004,7616973.0,2833.2962632268755
CE,2002,28718840361.0,7736256.569968952,3712.2399058586625
CE,2003,32687418273.0,7856435.8882488785,4160.591232201311
CE,2004,36890816202.0,7976564.129375288,4624.900596754712
CE,2005,41059459215.0,8097276.083073281,5070.774269489411
CE,2006,46500320740.0,8217086.343127995,5658.9792048234385
CE,2007,50818749012.0,8185249.757703746,6208.576465754231
CE,2008,60415573673.0,8450526.590997355,7149.326497281583
CE,2009,67199958045.0,8547809.376021024,7861.658477494189
CE,2010,79336299281.0,8448054.443573322,9391.073389844618
CE,2011,89695828420.0,8530155.172210114,10515.146161961356
CE,2012,96973752889.0,8606004.879776286,11268.149884144714
CE,2013,109036556353.0,8778576.146450505,12420.756456852905
CE,2014,126054471625.0,8842791.184295526,14255.054653882153
CE,2015,130629848526.0,8904458.726833437,14670.16160480919
CE,2016,138422520662.0,8963662.671472846,15442.629395518672
CE,2017,147921533985.0,9020459.451309033,16398.447859940647
CE,2018,155903824752.0,9075649.516474588,17178.255337978328
CE,2019,163575327180.0,9132078.473889168,17912.168368647028
CE,2020,166914535664.0,9187102.916306775,18168.35374378279
DF,1999,22256423497.0,2030662.0,10960.181210363911
DF,2000,29587137293.0,2080153.0,14223.538986314948
DF,2001,33051370596.0,2129951.0,15517.432370979426
DF,2002,53902199799.0,2180405.619756015,24721.179999999997
DF,2003,58456124319.0,2231239.2030596645,26198.95
DF,2004,67076505202.0,2282049.36539528,29393.1
DF,2005,75732681210.0,2333107.862292052,32460.0
DF,2006,84661405538.0,2383784.1604029783,35515.55
DF,2007,93404000766.0,2455902.808417549,38032.45
DF,2008,110299557146.0,2557157.9763363404,43133.65
DF,2009,124323753082.0,2606884.9940051003,47690.54
DF,2010,144174101595.0,2562963.004485102,56252.9
DF,2011,154568953955.0,2609997.8598277965,59221.87
DF,2012,164101336475.0,2648531.8194861924,61959.35999999999
DF,2013,175906725532.0,2789760.8673524973,63054.41000000001
DF,2014,197432058527.0,2852371.946218259,69216.8
DF,2015,215612862838.0,2914830.0277987355,73970.99
DF,2016,235540044811.0,2977216.1582012023,79114.19
DF,2017,244722249337.0,3039443.840258276,80515.46999999999
DF,2018,254817204692.0,2974703.1269513606,85661.39
DF,2019,273613711477.0,3015268.012893592,90742.75
DF,2020,265847334003.0,3055148.9976459546,87016.16
ES,1999,18772146644.000004,3074629.0,6105.499767288998
ES,2000,21530247267.0,3129240.0,6880.343874870576
ES,2001,22538118805.0,3184191.0,7078.130302170944
ES,2002,27048996552.0,3239865.2392643737,8348.802976182305
ES,2003,31519105782.0,3295956.9536890686,9562.960385972754
ES,2004,39732638403.0,3352023.984123261,11853.32759884541
ES,2005,47020587607.0,3408365.0264575602,13795.643143266916
ES,2006,53463868453.0,3464285.31865454,15432.871006642234
ES,2007,60658394971.0,3351669.1809077794,18097.966027354476
ES,2008,72091158094.0,3453648.228667966,20873.91457404009
ES,2009,69215360730.0,3487198.757957741,19848.412876395836
ES,2010,85310284545.0,3512672.101994677,24286.435530534265
ES,2011,105976222185.0,3547055.074837045,29877.24181019903
ES,2012,116850580542.0,3578067.11224636,32657.459146605997
ES,2013,117274346943.0,3839365.970951008,30545.237893524183
ES,2014,128783781147.0,3885048.9239519415,33148.56097513408
ES,2015,120365979914.0,3929911.1536733806,30628.16822245233
ES,2016,109264423093.0,3973696.9381653024,27496.91906385003
ES,2017,113399936793.0,4016356.0543902544,28234.532809670403
ES,2018,137020054870.0,3972387.9769932274,34493.11992272038
ES,2019,137345595431.0,4018650.0788176376,34177.04769941295
ES,2020,138445922361.0,4064052.229334768,34065.98009781527
GO,1999,17919856438.0,4958428.0,3614.019692934938
GO,2000,21665356268.999996,5066670.0,4276.054345161614
GO,2001,25048231055.0,5175586.0,4839.689854443535
GO,2002,38629364574.0,5285936.196512804,7307.951352020529
GO,2003,45557889216.0,5397114.294393395,8441.157020396295
GO,2004,51103815346.0,5508245.068136723,9277.694567661441
GO,2005,53865112567.0,5619916.341255,9584.682279268809
GO,2006,61375402643.0,5730753.781318897,10709.830675865267
GO,2007,71410567717.0,5647035.180246472,12645.674311857783
GO,2008,82417563800.0,5844995.725634389,14100.534486029035
GO,2009,92865743084.0,5926300.24060967,15670.104333837533
GO,2010,106770109478.0,6004045.237271281,17783.0288178383
GO,2011,121296720836.0,6080716.206430242,19947.76876903596
GO,2012,138757825030.0,6154995.7537277965,22543.935135285967
GO,2013,151300175113.0,6434048.408394508,23515.548144710654
GO,2014,165015318467.0,6523222.223921335,25296.59619165995
GO,2015,173632450243.0,6610680.702000874,26265.441952210178
GO,2016,181759603534.0,6695854.948954129,27145.09273567676
GO,2017,191948301048.0,6778772.229688735,28316.086533683963
GO,2018,195681723991.0,6921160.966783998,28272.962430741718
GO,2019,208672491708.0,7018353.777992293,29732.398552256214
GO,2020,224126112041.0,7113540.28331799,31506.97165047334
MA,1999,7918384477.000001,5618650.0,1409.3037432479334
MA,2000,9206844793.999998,5697960.0,1615.8142201770454
MA,2001,10293103448.000002,5777763.0,1781.5032302294162
MA,2002,15924002514.0,5858618.585741148,2718.047314559141
MA,2003,19502900087.0,5940078.996069879,3283.2728487118875
MA,2004,22127131812.0,6021503.499552895,3674.6855355382536
MA,2005,25104209286.0,6103326.062932537,4113.20139660667
MA,2006,29710643030.0,6184536.913618305,4804.020647783245
MA,2007,30730865778.0,6118994.791528864,5022.208193499986
MA,2008,37932402170.0,6305538.585721157,6015.727547191232
MA,2009,40994570650.0,6367137.694163804,6438.461459311006
MA,2010,46309633109.0,6569682.666540342,7048.990866005876
MA,2011,52143535326.0,6645761.048311809,7846.134543047673
MA,2012,60490108518.0,6714313.797350751,9009.127416991952
MA,2013,67694844541.0,6794300.98219714,9963.474494047046
MA,2014,76842027644.0,6850883.844479908,11216.367024805913
MA,2015,78475993839.0,6904241.104453175,11366.346083769246
MA,2016,85310038137.0,6954035.842967049,12267.701815669838
MA,2017,89542757307.0,7000229.123824764,12791.403784520113
MA,2018,98179495640.0,7035055.105426893,13955.75360372993
MA,2019,97339938019.0,7075180.9768435825,13757.943201394379
MA,2020,106915961558.0,7114597.767937532,15027.688851198982
MG,1999,93748370142.00009,17793715.0,5268.622664912869
MG,2000,106168725155.99998,18029960.0,5888.461491650563
MG,2001,113529800021.00005,18267675.0,6214.791976592535
MG,2002,124071066407.0,18508521.310442626,6703.456441817332
MG,2003,144189093833.0,18751173.391631924,7689.603782201022
MG,2004,171870933838.0,18993719.46169938,9048.829755781946
MG,2005,188364435580.0,19237450.023435034,9791.549054086416
MG,2006,212659547189.0,19479356.567572948,10917.175136216347
MG,2007,240355238652.0,19273533.110326253,12470.740952172593
MG,2008,278607619372.0,19850071.978065573,14035.597436616996
MG,2009,287443848047.0,20033664.37693277,14348.041508470591
MG,2010,351123417732.0,19595309.338536836,17918.748393599897
MG,2011,400124687035.0,19728700.957167637,20281.349892407925
MG,2012,442282829874.0,19855332.25293381,22275.267129244265
MG,2013,488004903011.0,20593355.965765834,23697.20136058707
MG,2014,516633984096.0,20734096.88437984,24917.120189845806
MG,2015,519331213138.0,20869101.13338646,24885.174010066592
MG,2016,544810468390.0,20997559.709929004,25946.370717182836
MG,2017,576375544684.0,21119536.320288684,27291.10790800361
MG,2018,614875819797.0,21040661.794009857,29223.216732282217
MG,2019,651872684368.0,21168791.036208246,30794.044083717472
MG,2020,682786116407.0,21292666.140368987,32066.727196388936
MS,1999,10901030127.999996,2064455.0,5280.3428159005625
MS,2000,11861168419.0,2097184.0,5655.759541842775
MS,2001,13736054569.999998,2130117.0,6448.497697544312
MS,2002,16440423926.0,2163483.2156219333,7599.053141382424
MS,2003,21846566336.0,2197100.3356607878,9943.363068773802
MS,2004,23372308186.0,2230701.563047483,10477.559424878787
MS,2005,23725258355.0,2264467.7562503577,10477.189745587597
MS,2006,26667893812.0,2297980.617188892,11604.925477840932
MS,2007,30084765195.0,2265812.8135462473,13277.692232622703
MS,2008,36219263039.0,2336057.7233396214,15504.438386574218
MS,2009,39517741740.0,2360497.843761684,16741.274237736485
MS,2010,47270656394.0,2449341.1131041846,19299.335703425684
MS,2011,55133162451.0,2477542.093362234,22253.168815460824
MS,2012,62013200885.0,2505088.180367181,24754.897400821425
MS,2013,69203201262.0,2587269.083287374,26747.585594796612
MS,2014,78950132709.0,2619657.0153927943,30137.583754322943
MS,2015,83082554714.0,2651234.881049132,31337.30447945941
MS,2016,91892285159.0,2682386.0358166415,34257.666097275134
MS,2017,96396433756.0,2713146.8874273533,35529.3825788417
MS,2018,106969141696.0,2748022.9130741884,38925.855089153745
MS,2019,106943246416.0,2778986.099924505,38482.82883419433
MS,2020,122627726080.0,2809394.0270711356,43649.173059516506
MT,1999,11701249735.999998,2482637.0,4713.234248905498
MT,2000,13428289491.000002,2535104.0,5296.938307461943
MT,2001,14452677764.999994,2587899.0,5584.714768621185
MT,2002,19190652533.0,2641386.378451589,7265.371204136284
MT,2003,26697096887.0,2695277.6315230993,9905.137999425126
MT,2004,33388670158.0,2749145.047373704,12145.110418927023
MT,2005,34257054621.0,2803273.886546551,12220.373751350582
MT,2006,30700164573.0,2856998.9529450065,10745.598818422437
MT,2007,38027578413.0,2854641.978273247,13321.312690848405
MT,2008,49202505249.0,2957732.0131722987,16635.21408629179
MT,2009,52693416786.0,3001691.977074789,17554.571617755006
MT,2010,56600955373.0,3033991.092770336,18655.61026460288
MT,2011,69153956735.0,3075936.095304511,22482.24754752387
MT,2012,79665691137.0,3115336.05148548,25572.101956388673
MT,2013,89212918588.0,3182112.8867298863,28035.749127580475
MT,2014,101234520268.0,3224357.0583369527,31396.80824313371
MT,2015,107418318632.0,3265486.0939370575,32895.047028814726
MT,2016,123880295558.0,3305530.9332423746,37476.67108850396
MT,2017,126845897787.0,3344544.03740331,37926.215462686094
MT,2018,137442852834.0,3441998.015617618,39931.124948466255
MT,2019,142122027969.0,3484465.8856656603,40787.32082115061
MT,2020,178649563700.0,3526220.0583563466,50663.191957246345
PA,1999,16673914620.248589,6152580.0,2710.0687224300355
PA,2000,18913684300.348446,6289920.0,3006.9832844214943
PA,2001,21747997240.149467,6428112.0,3383.2635834829057
PA,2002,26482158871.0,6549093.941868729,4043.637044461686
PA,2003,30270151871.0,6689404.727711626,4525.089018100882
PA,2004,37272725891.0,6850179.837209399,5441.13100338458
PA,2005,40522893486.0,6970585.359195148,5813.413278490996
PA,2006,45983026806.0,7110464.787684406,6466.950920795549
PA,2007,51846876319.0,7065572.549118033,7337.958241681608
PA,2008,60956978232.0,7321491.826231373,8325.759241252432
PA,2009,61665095568.0,7431018.934392311,8298.336488230576
PA,2010,82684517799.0,7603239.031364779,10874.907057099079
PA,2011,98710735865.0,7688592.553484713,12838.596294228282
PA,2012,107080880914.0,7822205.350042074,13689.346689603852
PA,2013,121224846594.0,7999728.967632888,15153.61921441075
PA,2014,124584945023.0,8104879.982469632,15371.596531036825
PA,2015,130899505115.0,8175112.847693915,16011.950850553081
PA,2016,138107514257.0,8272723.921890655,16694.321672158112
PA,2017,155232403793.0,8366628.069395114,18553.759352687815
PA,2018,161349602045.0,8513496.668154625,18952.212978310115
PA,2019,178376983522.0,8602864.99757889,20734.602201964204
PA,2020,215935603795.0,8690744.727771623,24846.616781294833
PB,1999,7936649414.000001,3432778.0,2312.019423918471
PB,2000,9237736760.000002,3459468.0,2670.276689941922
PB,2001,10271929974.999996,3486324.0,2946.3497870536403
PB,2002,12747021186.0,3513533.573644416,3627.9776238990485
PB,2003,14737919527.0,3540948.5067357416,4162.138901191279
PB,2004,15757831545.0,3568350.0091083045,4415.999412831626
PB,2005,17557226323.0,3595886.3706719456,4882.5865205855125
PB,2006,20838016360.0,3623215.5316283754,5751.249457311419
PB,2007,22909811457.0,3641397.4881012975,6291.488784693392
PB,2008,26889573077.0,3742605.811597086,7184.719532492091
PB,2009,30230406110.0,3769977.291548364,8018.723661219747
PB,2010,33522491694.0,3766834.228534179,8899.38066296188
PB,2011,37109136669.0,3791314.8825648143,9787.933162622401
PB,2012,42488349200.0,3815170.8098822148,11136.683340610833
PB,2013,46377299274.0,3914420.811166217,11847.806230159216
PB,2014,52936483065.0,3943884.8657525606,13422.421005411074
PB,2015,56141890254.0,3972202.0802186136,14133.694389211483
PB,2016,59104781396.0,3999414.8149892455,14778.35736730373
PB,2017,62396775525.0,4025558.0155805503,15500.15557681669
PB,2018,64373595373.0,3996495.7269385853,16107.510121701485
PB,2019,67986073550.0,4018127.0671047373,16919.841611427033
PB,2020,70292034110.0,4039276.70197047,17402.133920587716
PE,1999,26021483005.999996,7882366.0,3301.2274494739263
PE,2000,29126795617.000004,7969293.0,3654.878245410227
PE,2001,31724961522.999992,8056761.0,3937.6818454711506
PE,2002,36056031634.0,8145381.456483744,4426.561460212439
PE,2003,38815845289.0,8234668.132677518,4713.710943002989
PE,2004,44982684107.0,8323912.089387758,5404.031616858243
PE,2005,50240325202.0,8413593.098266076,5971.328137125365
PE,2006,55485293016.0,8502603.289186483,6525.682914850982
PE,2007,62459325003.0,8485427.224261934,7360.7755216394235
PE,2008,70413938532.0,8734193.66189215,8061.870535252791
PE,2009,79760958068.0,8810255.72018411,9053.194436260155
PE,2010,97189760476.0,8796031.383904139,11049.273954825534
PE,2011,110161558964.0,8864905.8935021,12426.703710949429
PE,2012,127989043344.0,8931028.127144376,14330.829723287801
PE,2013,141150251796.0,9208549.675062852,15328.174009664186
PE,2014,155142647932.0,9277727.333589353,16722.052971994235
PE,2015,156963667544.0,9345172.929095745,16796.22931912808
PE,2016,167345031244.0,9410335.821498387,17783.109382950166
PE,2017,181609500842.0,9473266.008824285,19170.738019267268
PE,2018,186351975251.0,9496294.201191476,19623.652269284044
PE,2019,197853378471.0,9557071.117751814,20702.302623185107
PE,2020,193307317290.0,9616621.038176483,20101.37620299273
PI,1999,4733808934.999999,2831393.0,1671.9010518850612
PI,2000,5329536363.0,2860109.0,1863.4032349816039
PI,2001,5574648375.0,2889005.0,1929.608420546174
PI,2002,7122634624.0,2918279.453028307,2440.6965606425465
PI,2003,8414900525.0,2947776.469526626,2854.6603217683332
PI,2004,9406460753.0,2977259.480293822,3159.4359897954505
PI,2005,10711834495.0,3006884.3555944045,3562.43647184844
PI,2006,13360478492.0,3036290.043275216,4400.26423746665
PI,2007,13736084546.0,3032434.8262093654,4529.721274560917
PI,2008,16203339851.0,3119697.2298601107,5193.882180587944
PI,2009,18946449329.0,3145325.004710216,6023.685724250161
PI,2010,22269149135.0,3119015.0303758252,7139.801802210835
PI,2011,25941362396.0,3140328.252621522,8260.716813391831
PI,2012,28637684706.0,3160748.004733988,9060.413757473898
PI,2013,31283593019.0,3184166.077202809,9824.73660622679
PI,2014,37723496640.0,3194718.1201224783,11808.08297370341
PI,2015,39149685744.0,3204027.852990205,12218.896819970836
PI,2016,41416936734.0,3212180.2080214834,12893.715187763526
PI,2017,45365541026.0,3219257.117155522,14091.928471399693
PI,2018,50378417554.0,3264531.0516891847,15432.053411754932
PI,2019,52780784685.0,3273226.797801039,16125.000785297934
PI,2020,56391257063.0,3281479.886109354,17184.702945066532
PR,1999,61723958505.0,9512722.0,6488.569570833669
PR,2000,65968713266.999985,9635306.0,6846.561309729031
PR,2001,72770350206.99998,9758653.0,7457.007663557663
PR,2002,88235714970.0,9883625.170378128,8927.46471552242
PR,2003,110039414399.0,10009534.08343521,10993.460183237137
PR,2004,123451529532.0,10135388.186825614,12180.2468002624
PR,2005,127464507454.0,10261854.993688941,12421.19553749209
PR,2006,137648310679.0,10387378.215046806,13251.496944590628
PR,2007,165208890958.0,10284503.117712064,16063.86706942368
PR,2008,185683858660.0,10590169.056890009,17533.60665561739
PR,2009,196675611941.0,10686246.842409397,18404.554455964273
PR,2010,225205254696.0,10439600.927848447,21572.20915363225
PR,2011,257122268525.0,10512349.515565375,24459.067703588567
PR,2012,285620201624.0,10577754.988098338,27001.967992770515
PR,2013,333481152162.0,10997465.071560467,30323.45635944641
PR,2014,348084190849.0,11081692.152399102,31410.74359962638
PR,2015,376962821632.0,11163018.158212923,33768.89800673294
PR,2016,401814164419.0,11242720.436514832,35739.94094115887
PR,2017,421497870228.0,11320891.83451321,37231.86091602863
PR,2018,440029402862.0,11348936.76270353,38772.74250994916
PR,2019,466377036431.0,11433957.077763451,40788.7692125416
PR,2020,487930593779.0,11516839.970541218,42366.707797197116
RJ,1999,114419456711.00002,14319208.0,7990.627464242437
RJ,2000,137876530792.0,14493347.0,9513.091130157858
RJ,2001,148033351542.58746,14668571.0,10091.872721793245
RJ,2002,184310915236.0,14846102.470382093,12414.767822308882
RJ,2003,202640788576.0,15024966.555732543,13486.937746206533
RJ,2004,241206738200.0,15203749.731601989,15864.950585093888
RJ,2005,269830061004.0,15383407.05799128,17540.33160448877
RJ,2006,299738183009.0,15561721.386494866,19261.24851901832
RJ,2007,323698285517.0,15420449.812857492,20991.494375676513
RJ,2008,378285800318.0,15872361.332884023,23832.988197809955
RJ,2009,391650854275.0,16010428.302565387,24462.234668153436
RJ,2010,449858101109.0,15993582.394640738,28127.413234182117
RJ,2011,512767904769.0,16112677.956252677,31823.878449082735
RJ,2012,574884973130.0,16231364.774543053,35418.1537483304
RJ,2013,628226069362.0,16369178.995449016,38378.59366903254
RJ,2014,671076844311.0,16461172.8812982,40767.255720485206
RJ,2015,659138951833.0,16550024.063881444,39827.06908997771
RJ,2016,640401206447.0,16635996.411127064,38494.91131283634
RJ,2017,671605668055.0,16718956.66071086,40170.30976778933
RJ,2018,758859046865.0,17159959.42202555,44222.6597512213
RJ,2019,779927917084.0,17264943.068149254,45174.0798684027
RJ,2020,753823710636.0,17366188.66337254,43407.550456129065
RN,1999,7647780898.000004,2760342.0,2770.5917955093983
RN,2000,9293319280.0,2800063.0,3318.9679232217277
RN,2001,9833650253.000004,2840032.0,3462.513891744883
RN,2002,13566803381.0,2880527.063767491,4709.833679970965
RN,2003,14865441489.0,2921325.5266929325,5088.594664706307
RN,2004,17252398422.0,2962106.830309744,5824.367387922986
RN,2005,19966918075.0,3003087.351863847,6648.796966431116
RN,2006,22890123700.0,3043760.078331637,7520.344281717061
RN,2007,26318258516.0,3013740.2889333623,8732.755975238559
RN,2008,28898860488.0,3106430.017526057,9302.916957715624
RN,2009,30941053635.0,3137540.915306864,9861.561799576992
RN,2010,36184502368.0,3168133.010894248,11421.39621145087
RN,2011,40992924913.0,3198657.3306294507,12815.666286120486
RN,2012,46412208354.0,3228198.1645653863,14377.124943396557
RN,2013,51518456550.0,3373959.109479279,15269.437144408997
RN,2014,54022583912.0,3408510.268115195,15849.324092508275
RN,2015,57250866829.0,3442174.9259392135,16632.178218943605
RN,2016,59677388846.0,3474998.0715622483,17173.358838490218
RN,2017,64305995062.0,3507002.883999942,18336.453430188016
