Data,Último,Abertura,Máxima,Mínima,Vol.,Var
15.12.2022,"53,035","52,792","53,258","52,792","47,15K",0.46
14.12.2022,"52,792","52,941","53,721","52,740","176,05K",-0.28
13.12.2022,"52,938","53,231","53,358","52,418","174,06K",-0.54
12.12.2022,"53,226","52,404","53,520","52,309","143,26K",1.58
09.12.2022,"52,400","52,258","52,840","52,161","140,59K",0.28
08.12.2022,"52,253","52,053","52,530","51,905","164,06K",0.39
07.12.2022,"52,048","52,357","52,782","51,841","158,34K",-0.58
06.12.2022,"52,352","52,811","52,811","52,183","161,57K",-0.87
05.12.2022,"52,809","52,170","52,916","52,060","134,13K",1.19
02.12.2022,"52,189","51,852","52,410","51,616","160,05K",0.66
01.12.2022,"51,848","51,856","52,175","51,628","183,46K",-0.01
30.11.2022,"51,851","52,700","53,189","51,733","158,63K",-1.6
29.11.2022,"52,695","53,658","53,658","52,698","127,67K",-1.79
28.11.2022,"53,654","54,080","54,307","53,478","121,90K",-0.82
25.11.2022,"54,098","53,213","54,251","53,040","158,13K",1.67
24.11.2022,"53,208","53,596","53,596","52,991","113,29K",-0.71
23.11.2022,"53,591","53,591","54,127","53,440","151,68K",0.01
22.11.2022,"53,586","53,203","54,005","52,794","174,86K",0.73
21.11.2022,"53,200","53,832","53,836","52,976","177,13K",-1.16
18.11.2022,"53,827","54,236","54,236","53,253","156,99K",-0.74
17.11.2022,"54,231","54,003","55,307","53,866","167,68K",0.43
16.11.2022,"53,998","53,330","54,057","52,868","146,98K",1.26
15.11.2022,"53,325","53,333","53,333","53,328","0,01K",0.01
14.11.2022,"53,321","53,253","53,527","52,589","164,62K",0.13
11.11.2022,"53,250","53,454","54,066","52,484","179,78K",-0.37
10.11.2022,"53,449","51,869","54,155","51,869","244,22K",3.06
09.11.2022,"51,864","51,444","52,014","51,364","186,74K",0.82
08.11.2022,"51,440","51,572","52,488","51,298","181,41K",-0.25
07.11.2022,"51,567","50,571","51,757","50,461","158,14K",2
04.11.2022,"50,557","51,170","51,170","50,184","180,05K",-1.13
03.11.2022,"51,137","51,437","52,244","50,830","203,31K",-0.57
02.11.2022,"51,432","51,475","51,480","51,437",,-0.08
01.11.2022,"51,475","51,803","52,069","50,830","208,66K",-0.61
31.10.2022,"51,791","52,962","54,083","51,531","180,03K",-2.19
28.10.2022,"52,949","53,451","53,832","52,800","202,54K",-0.94
27.10.2022,"53,449","53,807","53,927","52,406","186,52K",-0.66
26.10.2022,"53,804","53,166","53,879","52,797","183,45K",1.2
25.10.2022,"53,167","53,037","53,581","52,757","180,71K",0.25
24.10.2022,"53,032","51,649","53,101","51,648","177,34K",2.77
21.10.2022,"51,605","52,180","52,773","51,404","216,51K",-1.04
20.10.2022,"52,147","52,707","52,716","51,922","189,24K",-1.05
19.10.2022,"52,700","52,414","52,998","52,411","182,98K",0.56
18.10.2022,"52,405","52,833","52,993","52,336","176,73K",-0.76
17.10.2022,"52,808","53,288","53,307","52,531","132,52K",-0.83
14.10.2022,"53,252","52,629","53,347","52,407","164,83K",1.19
13.10.2022,"52,626","52,725","53,817","52,288","169,10K",-0.57
12.10.2022,"52,930","53,034","53,034","52,932","8,27K",-0.14
11.10.2022,"53,005","51,899","53,057","51,770","174,89K",2.13
10.10.2022,"51,901","51,999","52,174","51,625","137,86K",-0.18
07.10.2022,"51,996","52,215","52,533","51,937","172,97K",-0.42
06.10.2022,"52,217","51,959","52,333","51,723","182,70K",0.53
05.10.2022,"51,940","51,779","52,442","51,593","177,29K",0.33
04.10.2022,"51,770","51,650","52,218","51,083","167,00K",0.19
03.10.2022,"51,672","54,158","54,158","51,526","162,97K",-4.58
30.09.2022,"54,154","54,013","54,278","53,282","191,95K",0.35
29.09.2022,"53,964","53,765","54,300","53,730","226,00K",0.41
28.09.2022,"53,745","53,814","54,236","53,226","215,45K",-0.15
27.09.2022,"53,824","53,910","53,954","52,963","240,28K",-0.14
26.09.2022,"53,898","52,603","54,174","52,603","198,86K",2.48
23.09.2022,"52,595","51,173","52,693","51,164","188,07K",2.79
22.09.2022,"51,166","51,728","51,859","51,055","194,13K",-1.06
21.09.2022,"51,716","51,430","51,940","51,188","195,92K",0.58
20.09.2022,"51,417","51,705","52,240","51,406","162,36K",-0.49
19.09.2022,"51,670","52,544","53,029","51,420","126,67K",-1.64
16.09.2022,"52,531","52,462","53,105","52,462","169,32K",0.12
15.09.2022,"52,470","51,644","52,502","51,641","135,04K",1.63
14.09.2022,"51,631","51,922","51,986","51,495","136,73K",-0.54
13.09.2022,"51,911","50,918","52,092","50,766","177,68K",1.93
12.09.2022,"50,930","51,477","51,477","50,834","126,68K",-1.03
09.09.2022,"51,462","52,143","52,146","51,378","151,12K",-1.3
08.09.2022,"52,141","52,483","52,523","51,783","195,76K",-0.65
07.09.2022,"52,480","52,507","52,507","52,483","34,56K",-0.09
06.09.2022,"52,528","51,547","52,539","51,532","134,86K",1.96
05.09.2022,"51,516","51,660","51,905","51,495","93,71K",-0.32
02.09.2022,"51,681","52,422","52,422","51,575","153,53K",-1.4
01.09.2022,"52,416","51,833","52,577","51,462","169,57K",1.13
31.08.2022,"51,831","51,229","52,122","51,229","158,17K",1.19
30.08.2022,"51,223","50,285","51,259","50,076","161,49K",1.87
29.08.2022,"50,282","50,608","50,917","50,100","119,96K",-0.63
26.08.2022,"50,601","51,102","51,175","50,540","165,72K",-0.97
