id,Caso,nome_da_zona,altura_do_teto,area_do_piso,area_liquida_de_superficie_de_parede_externa_do_leste,area_liquida_de_superficie_de_parede_interna_do_leste,area_liquida_de_superficie_de_janela_do_leste,area_liquida_de_superficie_de_parede_externa_do_oeste,area_liquida_de_superficie_de_parede_interna_do_oeste,area_liquida_de_superficie_de_janela_do_oeste,area_liquida_de_superficie_de_parede_externa_do_sul,area_liquida_de_superficie_de_parede_interna_do_sul,area_liquida_de_superficie_de_janela_do_sul,area_liquida_de_superficie_de_parede_externa_do_norte,area_liquida_de_superficie_de_parede_interna_do_norte,area_liquida_de_superficie_de_janela_do_norte,area_total_do_edificio,area_liquida_condicionada_do_edificio,condutancia_termica_da_cobertura,condutancia_termica_da_parede_externa,condutancia_termica_da_parede_interna,absorcao_solar_externa_da_cobertura,absorcao_solar_externa_da_parede_externa,condutancia_da_janela,fator_de_ganho_de_calor_solar_da_janela,area_sala,area_dorm,alt,dbt_mean,dbt_min,dbt_max,dpt_mean,dpt_min,dpt_max,wd_mean,ws_mean,ts_mean,ghr_mean,ghr_min,ghr_max,TOMax,tipo,aquecimento,resfriamento
0,0_3quartos_modelo1.tbl.htm,DORM1,3.32,15.46,0.0,12.86,0.0,9.17,0.0,5.37,7.4,0.0,4.33,0.0,11.73,0.0,77.48,53.77,3.288,0.8894,0.8917,0.7,0.7,4.253,0.555,19.74,34.03,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,1,243.7679675,0.0
0,0_3quartos_modelo1.tbl.htm,DORM2,3.32,10.02,0.0,7.74,0.0,5.96,0.0,3.46,0.0,11.73,0.0,11.73,0.0,0.0,77.48,53.77,3.288,0.8894,0.8917,0.7,0.7,4.253,0.555,19.74,34.03,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,1,116.107735,0.0
0,0_3quartos_modelo1.tbl.htm,DORM3,3.32,8.55,0.0,6.36,0.0,5.06,0.0,2.97,0.0,11.73,0.0,0.0,11.73,0.0,77.48,53.77,3.288,0.8894,0.8917,0.7,0.7,4.253,0.555,19.74,34.03,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,1,58.21865789,0.0
0,0_3quartos_modelo1.tbl.htm,SALA,3.32,19.74,12.86,0.0,0.0,0.0,12.86,0.0,9.43,0.0,5.55,0.0,12.77,0.0,77.48,53.77,3.288,0.8894,0.8917,0.7,0.7,4.253,0.555,19.74,34.03,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,0,3.18409497,685.1874135
146,146_3quartos_modelo1.tbl.htm,DORM3,3.46,7.02,1.99,0.0,3.34,0.0,4.15,0.0,0.0,15.75,0.0,0.0,15.75,0.0,63.65,44.17,3.275,4.908,4.908,0.7,0.7,4.78,0.361,16.22,27.95,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,1,8.158852056,0.0
146,146_3quartos_modelo1.tbl.htm,SALA,3.46,16.22,0.0,8.45,0.0,8.45,0.0,0.0,7.44,0.0,12.68,0.0,17.92,0.0,63.65,44.17,3.275,4.908,4.908,0.7,0.7,4.78,0.361,16.22,27.95,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,0,3.391562271,95.11381117
146,146_3quartos_modelo1.tbl.htm,DORM1,3.46,12.7,3.57,0.0,6.06,0.0,8.45,0.0,5.83,0.0,9.92,0.0,15.75,0.0,63.65,44.17,3.275,4.908,4.908,0.7,0.7,4.78,0.361,16.22,27.95,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,1,114.2653086,0.0
146,146_3quartos_modelo1.tbl.htm,DORM2,3.46,8.23,2.33,0.0,3.91,0.0,5.07,0.0,0.0,15.75,0.0,15.75,0.0,0.0,63.65,44.17,3.275,4.908,4.908,0.7,0.7,4.78,0.361,16.22,27.95,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,1,35.99038529,0.0
506,506_2quartos.tbl.htm,DORM1,2.96,11.09,0.0,11.3,0.0,12.48,0.0,0.66,1.04,6.37,0.0,7.41,0.0,0.0,51.56,45.77,3.275,4.704,4.704,0.7,0.7,5.404,0.672,24.47,21.3,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,1,93.06730429,0.0
506,506_2quartos.tbl.htm,DORM2,2.96,10.21,0.0,9.31,0.0,8.84,0.0,0.47,9.63,0.0,0.0,0.0,7.78,0.0,51.56,45.77,3.275,4.704,4.704,0.7,0.7,5.404,0.672,24.47,21.3,1356.0,18.6325,13.016666666666666,26.75,14.410000000000002,6.508333333333333,18.133333333333333,163.83583333333334,3.0083333333333333,7.0975,4810.234166666666,2056.8333333333335,7134.583333333333,26.0,1,76.30055319,0.0
